,Wingspan,Chordlen,H.S. Span,H.S. Chordlen,Min Power,Prod. Power,Power Ratio,Cm-Cp Hor Stab Dist,Min Sink,Eff. Mass,Lift Ratio,Wing Reynolds,Hor Stab Reynolds
0,2.125,0.190726816094707,0.5,0.125,9.673196491085175,56.83125,5.875126185266238,0.3558373587190131,5.8420000000000005,2.0392527265286517,14.233494348760523,78427.96224574353,51400.71795593722
0,2.125,0.190726816094707,0.5,0.25,10.443605811914985,67.65625,6.478246232044855,0.15704553712975167,6.017,2.1512992956567403,6.281821485190067,80777.31065262563,105880.90377982685
0,2.125,0.190726816094707,0.625,0.125,9.710182438973659,59.537499999999994,6.131450194080283,0.3544056331319645,5.851000000000001,2.0447284166833057,14.176225325278578,78548.7858780975,51479.90427254172
0,2.125,0.190726816094707,0.625,0.25,10.581631113899077,73.06875,6.905244495248325,0.156788296123701,6.048,2.171187224889197,6.271531844948039,81193.48094184474,106426.40951643557
0,2.125,0.190726816094707,0.75,0.125,9.747203111427924,62.24375,6.385806193678625,0.3531514139416202,5.859000000000001,2.050171795621824,14.126056557664807,78656.1846624121,51550.292109523485
0,2.125,0.190726816094707,0.75,0.25,10.71034027102601,78.48124999999999,7.327614997658873,0.15607529397984718,6.088,2.191594179896022,6.2430117591938865,81730.47486341778,107130.28788625325
0,2.125,0.190726816094707,0.875,0.125,9.784271726729926,64.94999999999999,6.638204846923993,0.35176068088183365,5.868,2.0556473023760553,14.070427235273346,78777.00829476603,51629.47842612797
0,2.125,0.190726816094707,0.875,0.25,10.850269180519701,83.89375,7.7319510331246635,0.1558678377651903,6.12,2.211507598183159,6.2347135106076115,82160.07000067622,107693.39058210741
0,2.125,0.190726816094707,1.0,0.125,9.821381612071821,67.65625,6.888669300543339,0.350390922638818,5.877000000000001,2.061122721042322,14.01563690555272,78897.83192711996,51708.664742732464
0,2.125,0.190726816094707,1.0,0.25,10.990485991596627,89.30624999999999,8.125778065527214,0.15567281521332565,6.15,2.2313541496293587,6.226912608533026,82562.81544185602,108221.2993594707
0,2.125,0.190726816094707,1.125,0.125,9.85853276036382,70.3625,7.137218256543414,0.34904165233349604,5.886,2.066598058168434,13.961666093339842,79018.65555947389,51787.85105933695
0,2.125,0.190726816094707,1.125,0.25,11.131517279548918,94.71875,8.509060141695103,0.1554825737024818,6.181,2.251238416550338,6.219302948099272,82978.98573107511,108766.8050960794
0,2.125,0.381453632189414,0.5,0.125,12.482203663285933,148.84375,11.924476960570356,0.24104509892982376,7.15,2.563233986340391,9.64180395719295,191975.32696236434,62909.12930245654
0,2.125,0.381453632189414,0.5,0.25,13.332042196518715,159.66875,11.976315979684864,0.14405391511077467,7.323,2.6821500871823787,5.762156604430986,196620.32438397122,128862.53255437461
0,2.125,0.381453632189414,0.625,0.125,12.52118094025523,151.54999999999998,12.103490934530878,0.24067138548634942,7.158,2.56874335825941,9.626855419453976,192190.12453099358,62979.51713943831
0,2.125,0.381453632189414,0.625,0.25,13.47635321976644,165.08124999999998,12.24969747437809,0.14401953435705767,7.353000000000001,2.702155125453371,5.760781374282306,197425.81526633078,129390.4413317379
0,2.125,0.381453632189414,0.75,0.125,12.560373965073342,154.25625,12.28118290338653,0.24029877527668583,7.167000000000001,2.574277671224514,9.611951011067433,192431.77179570147,63058.7034560428
0,2.125,0.381453632189414,0.75,0.25,13.62100976348611,170.49374999999998,12.516968489152925,0.14398801647277115,7.382000000000001,2.7221217993385505,5.759520658910846,198204.45645261172,129900.75314985572
0,2.125,0.381453632189414,0.875,0.125,12.599435863879615,156.96249999999998,12.457899043717036,0.23992725599803202,7.175000000000001,2.579788777472293,9.59709023992128,192646.5693643307,63129.091293024576
0,2.125,0.381453632189414,0.875,0.25,13.766285915572817,175.90625,12.77804711298418,0.14395712977251124,7.412000000000001,2.7421345464209037,5.758285190900449,199009.9473349713,130428.661927219
0,2.125,0.381453632189414,1.0,0.125,12.638674739619084,159.66875,12.633345923483448,0.23951058589881244,7.184,2.5853415718949107,9.580423435952497,192888.21662903854,63208.27760962906
0,2.125,0.381453632189414,1.0,0.25,13.912210381400774,181.31875,13.033065561055986,0.14392887969997467,7.442,2.7621504765693268,5.757155187998987,199815.43821733087,130956.57070458225
0,2.125,0.381453632189414,1.125,0.125,12.67782130393087,162.375,12.807800023940565,0.23914134543059423,7.192,2.5908544698553655,9.565653817223769,193103.01419766777,63278.66544661083
0,2.125,0.381453632189414,1.125,0.25,14.058616585944282,186.73125,13.282334635023245,0.14390215839585177,7.472,2.782170452102339,5.756086335834071,200620.9290996904,131484.47948194554
